País;Código País;Número de Lámina;Nombre
Argelia;ALG;1;Escudo
Argelia;ALG;2;Alexis Guendouz
Argelia;ALG;3;Ramy Bensebaini
Argelia;ALG;4;Youcef Atal
Argelia;ALG;5;Rayan Aït-Nouri
Argelia;ALG;6;Mohamed Amine Tougai
Argelia;ALG;7;Aïssa Mandi
Argelia;ALG;8;Ismael Bennacer
Argelia;ALG;9;Houssem Aouar
Argelia;ALG;10;Hicham Boudaoui
Argelia;ALG;11;Ramiz Zerrouki
Argelia;ALG;12;Nabil Bentaleb
Argelia;ALG;13;Foto del equipo
Argelia;ALG;14;Farés Chaibi
Argelia;ALG;15;Riyad Mahrez
Argelia;ALG;16;Saïd Benrahma
Argelia;ALG;17;Anis Hadj Moussa
Argelia;ALG;18;Amine Gouiri
Argelia;ALG;19;Baghdad Bounedjah
Argelia;ALG;20;Mohammed Amoura
Argentina;ARG;1;Escudo
Argentina;ARG;2;Emiliano Martínez
Argentina;ARG;3;Nahuel Molina
Argentina;ARG;4;Cristian Romero
Argentina;ARG;5;Nicolás Otamendi
Argentina;ARG;6;Nicolás Tagliafico
Argentina;ARG;7;Leonardo Balerdi
Argentina;ARG;8;Enzo Fernández
Argentina;ARG;9;Alexis Mac Allister
Argentina;ARG;10;Rodrigo De Paul
Argentina;ARG;11;Exequiel Palacios
Argentina;ARG;12;Leandro Paredes
Argentina;ARG;13;Foto del equipo
Argentina;ARG;14;Nico Paz
Argentina;ARG;15;Franco Mastantuono
Argentina;ARG;16;Nico González
Argentina;ARG;17;Lionel Messi
Argentina;ARG;18;Lautaro Martínez
Argentina;ARG;19;Julián Álvarez
Argentina;ARG;20;Giuliano Simeone
Australia;AUS;1;Escudo
Australia;AUS;2;Mathew Ryan
Australia;AUS;3;Joe Gauci
Australia;AUS;4;Harry Souttar
Australia;AUS;5;Alessandro Circati
Australia;AUS;6;Jordan Bos
Australia;AUS;7;Aziz Behich
Australia;AUS;8;Cameron Burgess
Australia;AUS;9;Lewis Miller
Australia;AUS;10;Milos Degenek
Australia;AUS;11;Jackson Irvine
Australia;AUS;12;Riley McGree
Australia;AUS;13;Foto del equipo
Australia;AUS;14;Aiden O'Neill
Australia;AUS;15;Connor Metcalfe
Australia;AUS;16;Patrick Yazbek
Australia;AUS;17;Craig Goodwin
Australia;AUS;18;Kusini Yengi
Australia;AUS;19;Nestory Irankunda
Australia;AUS;20;Mohamed Touré
Austria;AUT;1;Escudo
Austria;AUT;2;Alexander Schlager
Austria;AUT;3;Patrick Pentz
Austria;AUT;4;David Alaba
Austria;AUT;5;Kevin Danso
Austria;AUT;6;Philipp Lienhart
Austria;AUT;7;Stefan Posch
Austria;AUT;8;Philipp Mwene
Austria;AUT;9;Alexander Prass
Austria;AUT;10;Xaver Schlager
Austria;AUT;11;Marcel Sabitzer
Austria;AUT;12;Konrad Laimer
Austria;AUT;13;Foto del equipo
Austria;AUT;14;Florian Grillitsch
Austria;AUT;15;Nicolas Seiwald
Austria;AUT;16;Romano Schmid
Austria;AUT;17;Patrick Wimmer
Austria;AUT;18;Christoph Baumgartner
Austria;AUT;19;Michael Gregoritsch
Austria;AUT;20;Marko Arnautović
Bélgica;BEL;1;Escudo
Bélgica;BEL;2;Thibaut Courtois
Bélgica;BEL;3;Arthur Theate
Bélgica;BEL;4;Timothy Castagne
Bélgica;BEL;5;Zeno Debast
Bélgica;BEL;6;Brandon Mechele
Bélgica;BEL;7;Maxim De Cuyper
Bélgica;BEL;8;Thomas Meunier
Bélgica;BEL;9;Youri Tielemans
Bélgica;BEL;10;Amadou Onana
Bélgica;BEL;11;Nicolas Raskin
Bélgica;BEL;12;Alexis Saelemaekers
Bélgica;BEL;13;Foto del equipo
Bélgica;BEL;14;Hans Vanaken
Bélgica;BEL;15;Kevin De Bruyne
Bélgica;BEL;16;Jérémy Doku
Bélgica;BEL;17;Charles De Ketelaere
Bélgica;BEL;18;Leandro Trossard
Bélgica;BEL;19;Loïs Openda
Bélgica;BEL;20;Romelu Lukaku
Bosnia y Herzegovina;BIH;1;Escudo
Bosnia y Herzegovina;BIH;2;Nikola Vasilj
Bosnia y Herzegovina;BIH;3;Amer Dedić
Bosnia y Herzegovina;BIH;4;Sead Kolašinac
Bosnia y Herzegovina;BIH;5;Tarik Muharemović
Bosnia y Herzegovina;BIH;6;Nihad Mujakić
Bosnia y Herzegovina;BIH;7;Nikola Katić
Bosnia y Herzegovina;BIH;8;Amir Hadžiahmetović
Bosnia y Herzegovina;BIH;9;Benjamin Tahirović
Bosnia y Herzegovina;BIH;10;Armin Gigović
Bosnia y Herzegovina;BIH;11;Ivan Šunjić
Bosnia y Herzegovina;BIH;12;Ivan Bašić
Bosnia y Herzegovina;BIH;13;Foto del equipo
Bosnia y Herzegovina;BIH;14;Dženis Burnić
Bosnia y Herzegovina;BIH;15;Esmir Bajraktarević
Bosnia y Herzegovina;BIH;16;Amar Memić
Bosnia y Herzegovina;BIH;17;Ermedin Demirović
Bosnia y Herzegovina;BIH;18;Edin Džeko
Bosnia y Herzegovina;BIH;19;Samed Baždar
Bosnia y Herzegovina;BIH;20;Haris Tabaković
Brasil;BRA;1;Escudo
Brasil;BRA;2;Alisson
Brasil;BRA;3;Bento
Brasil;BRA;4;Marquinhos
Brasil;BRA;5;Éder Militão
Brasil;BRA;6;Gabriel Magalhães
Brasil;BRA;7;Danilo
Brasil;BRA;8;Wesley
Brasil;BRA;9;Lucas Paquetá
Brasil;BRA;10;Casemiro
Brasil;BRA;11;Bruno Guimarães
Brasil;BRA;12;Luiz Henrique
Brasil;BRA;13;Foto del equipo
Brasil;BRA;14;Vinícius Júnior
Brasil;BRA;15;Rodrygo
Brasil;BRA;16;João Pedro
Brasil;BRA;17;Matheus Cunha
Brasil;BRA;18;Gabriel Martinelli
Brasil;BRA;19;Raphinha
Brasil;BRA;20;Estêvão
Canadá;CAN;1;Escudo
Canadá;CAN;2;Dayne St. Clair
Canadá;CAN;3;Alphonso Davies
Canadá;CAN;4;Alistair Johnston
Canadá;CAN;5;Samuel Adekugbe
Canadá;CAN;6;Richie Laryea
Canadá;CAN;7;Derek Cornelius
Canadá;CAN;8;Moïse Bombito
Canadá;CAN;9;Kamal Miller
Canadá;CAN;10;Stephen Eustáquio
Canadá;CAN;11;Ismaël Koné
Canadá;CAN;12;Jonathan Osorio
Canadá;CAN;13;Foto del equipo
Canadá;CAN;14;Jacob Shaffelburg
Canadá;CAN;15;Mathieu Choinière
Canadá;CAN;16;Niko Sigur
Canadá;CAN;17;Tajon Buchanan
Canadá;CAN;18;Liam Millar
Canadá;CAN;19;Cyle Larin
Canadá;CAN;20;Jonathan David
Costa de Marfil;CIV;1;Escudo
Costa de Marfil;CIV;2;Yahia Fofana
Costa de Marfil;CIV;3;Ghislain Konan
Costa de Marfil;CIV;4;Wilfried Singo
Costa de Marfil;CIV;5;Odilon Kossounou
Costa de Marfil;CIV;6;Evan Ndicka
Costa de Marfil;CIV;7;Willy Boly
Costa de Marfil;CIV;8;Emmanuel Agbadou
Costa de Marfil;CIV;9;Ousmane Diomande
Costa de Marfil;CIV;10;Franck Kessié
Costa de Marfil;CIV;11;Seko Fofana
Costa de Marfil;CIV;12;Ibrahim Sangaré
Costa de Marfil;CIV;13;Foto del equipo
Costa de Marfil;CIV;14;Jean-Philippe Gbamin
Costa de Marfil;CIV;15;Amad Diallo
Costa de Marfil;CIV;16;Sébastien Haller
Costa de Marfil;CIV;17;Simon Adingra
Costa de Marfil;CIV;18;Yan Diomandé
Costa de Marfil;CIV;19;Evann Guessand
Costa de Marfil;CIV;20;Oumar Diakité
Congo RD;COD;1;Escudo
Congo RD;COD;2;Lionel Mpasi
Congo RD;COD;3;Aaron Wan-Bissaka
Congo RD;COD;4;Axel Tuanzebe
Congo RD;COD;5;Arthur Masuaku
Congo RD;COD;6;Chancel Mbemba
Congo RD;COD;7;Joris Kayembe
Congo RD;COD;8;Charles Pickel
Congo RD;COD;9;Ngal'ayel Mukau
Congo RD;COD;10;Edo Kayembe
Congo RD;COD;11;Samuel Moutoussamy
Congo RD;COD;12;Noah Sadiki
Congo RD;COD;13;Foto del equipo
Congo RD;COD;14;Théo Bongonda
Congo RD;COD;15;Meschak Elia
Congo RD;COD;16;Yoane Wissa
Congo RD;COD;17;Brian Cipenga
Congo RD;COD;18;Fiston Mayele
Congo RD;COD;19;Cédric Bakambu
Congo RD;COD;20;Nathanaël Mbuku
Colombia;COL;1;Escudo
Colombia;COL;2;Camilo Vargas
Colombia;COL;3;David Ospina
Colombia;COL;4;Dávinson Sánchez
Colombia;COL;5;Yerry Mina
Colombia;COL;6;Daniel Muñoz
Colombia;COL;7;Johan Mojica
Colombia;COL;8;Jhon Lucumí
Colombia;COL;9;Santiago Arias
Colombia;COL;10;Jefferson Lerma
Colombia;COL;11;Kevin Castaño
Colombia;COL;12;Richard Ríos
Colombia;COL;13;Foto del equipo
Colombia;COL;14;James Rodríguez
Colombia;COL;15;Juan Fernando Quintero
Colombia;COL;16;Jorge Carrascal
Colombia;COL;17;Jhon Arias
Colombia;COL;18;Jhon Córdoba
Colombia;COL;19;Luis Suárez
Colombia;COL;20;Luis Díaz
Cabo Verde;CPV;1;Escudo
Cabo Verde;CPV;2;Vozinha
Cabo Verde;CPV;3;Logan Costa
Cabo Verde;CPV;4;Pico
Cabo Verde;CPV;5;Diney
Cabo Verde;CPV;6;Steven Moreira
Cabo Verde;CPV;7;Wagner Pina
Cabo Verde;CPV;8;João Paulo
Cabo Verde;CPV;9;Yannick Semedo
Cabo Verde;CPV;10;Kevin Pina
Cabo Verde;CPV;11;Patrick Andrade
Cabo Verde;CPV;12;Jamiro Monteiro
Cabo Verde;CPV;13;Foto del equipo
Cabo Verde;CPV;14;Deroy Duarte
Cabo Verde;CPV;15;Garry Rodrigues
Cabo Verde;CPV;16;Jovane Cabral
Cabo Verde;CPV;17;Ryan Mendes
Cabo Verde;CPV;18;Dailon Livramento
Cabo Verde;CPV;19;Willy Semedo
